name,calories,proteins,lipids,carbs,fibers,userId,
Nectar din 12 fructe 365 Mega Image,24,0,0,5,0,admin,
Nectar light multivitamin Linessa,25,0,0,5,0,admin,
Nectar multivitamine Ciao,24,0,0,6,0,admin,
Nectar multivitamine mix de fructe rosii Becker's Bester,30,0,0,7,0,admin,
Nectar orange Solevita,33,0,0,8,0,admin,
Nectar piersici,54,0,0,14,1,admin,
Nectar piersici Fruttia,66,1,0,17,0,admin,
Nectar piersici Peach Nectar Kaufland K-Classic,54,1,1,12,1,admin,
Nectar piersici Santal,59,0,0,14,0,admin,
Nectar portocale Belsina Plus,37,0,0,8,0,admin,
Nectar portocale Fruttia,50,1,0,12,0,admin,
Nectar portocale Tymbark,43,0,0,10,1,admin,
Nescafe 3 in 1 Strong,386,2,8,74,5,admin,
Nescafe Capucino Original,409,5,9,76,3,admin,
Nescafe Dolce Gusto Cafe au lait,400,21,20,29,8,admin,
Pina Colada,174,0,2,23,0,admin,
Racoritoare 7 Up,45,0,0,12,0,admin,
Racoritoare capsuni si banane Prigat Activ,44,0,0,11,0,admin,
Racoritoare caspsuni si banane Giusto Natura,49,0,0,12,0,admin,
Racoritoare cu gust tropical Giusto Natura,47,0,0,12,0,admin,
Racoritoare de portocale Mirinda,48,0,0,13,0,admin,
Racoritoare Fanta World,37,0,0,9,0,admin,
Racoritoare light de grapefruit Giusto Natura,8,0,0,2,0,admin,
Racoritoare light tropical Giusto Natura,9,0,0,2,0,admin,
Racoritoare Mirinda mere rosii,48,0,0,13,0,admin,
Racoritoare multivitamine Ciao,26,0,0,7,0,admin,
Racoritoare nectar capsuni si banane Prigat,56,0,0,14,0,admin,
Racoritoare nectar de pere Prigat,52,0,0,14,0,admin,
Racoritoare pink grapefruit Frutti Fresh,47,0,0,12,0,admin,
Racoritoare premium 100% portocale Cappy,46,0,0,11,0,admin,
Racoritoare San Terra Cola Kaufland,0,0,0,0,0,admin,
Raw Smoothie 1 Urban Monkey,45,1,0,9,5,admin,
Red Bull,45,0,0,11,0,admin,
Rom,231,0,0,0,0,admin,
Rom Captain Morgan Original spiced,214,0,0,1,0,admin,
Sake,134,1,0,5,0,admin,
Sampanie demi-dulce,97,0,0,7,0,admin,
Sampanie demi-sec,83,0,0,3,0,admin,
Sampanie dulce,117,0,0,12,0,admin,
Sangria,150,0,0,18,0,admin,
Schweppes Bitter Lemon,52,0,0,13,0,admin,
Shake cu aroma ciocolata McDonalds,85,2,2,14,0,admin,
Shake UltraLive Forever,384,50,12,19,4,admin,
Sirop capsuni Laurul,255,0,0,66,0,admin,
Sirop de ciocolata Nesquik,263,0,0,66,3,admin,
Sirop fructe de padure Laurul,255,0,0,66,0,admin,
Sirop ice tea lamaie Laurul,255,0,0,66,0,admin,
Sirop ice tea piersica Laurul,255,0,0,66,0,admin,
Sirop lamaie Laurul,255,0,0,66,0,admin,
Sirop portocale Yo,310,0,0,75,0,admin,
Sirop soc Laurul,255,0,0,66,0,admin,
Sirop visine Laurul,255,0,0,66,0,admin,
Sirop zmeura Laurul,255,0,0,66,0,admin,
Smoothie cu capsuni zmeura si coacaze Delhaize,48,0,0,11,1,admin,
Smoothie mango si fructele pasiunii Delhaize,50,1,0,11,0,admin,
Smoothie yellow rue Fruits Edeka,62,1,0,15,1,admin,
Soia de baut natur + Calciu Berief,31,2,1,3,0,admin,
Suc Aloe Vera Paldo,44,0,5,10,0,admin,
Suc ananas din compot cu zahar,56,0,0,14,0,admin,
Suc Cappy Pulpy Grapefruit,34,0,0,12,0,admin,
Suc capsuni Figo,36,0,0,9,0,admin,
Suc carbogazos light Adria Cola,8,0,0,2,0,admin,
Suc cu lamaie si menta Granini,44,0,0,11,0,admin,
Suc cu mar si zmeura innocent,42,0,0,9,0,admin,
Suc de ananas 100% Dole,51,0,0,12,1,admin,
Suc de ananas Enjoy,52,0,0,13,0,admin,
Suc de fructe Fruttia deliciu Tutti Frutti,42,0,0,10,0,admin,
Suc de fructe rosii Active Fitness Pfanner,13,0,0,3,0,admin,
Suc de grapefruit light Prigat,2,0,0,13,0,admin,
Suc de grapefruit roz Happy Day,44,1,0,10,0,admin,
Suc de gutui Wolfra,43,0,0,10,0,admin,
Suc de legume cu miez Sandora,25,1,0,5,0,admin,
Suc de mandarine Prigat Activ,46,0,0,12,0,admin,
Suc de mere bio Pfanner,46,0,0,11,0,admin,
Suc de mere Biotrend Lidl,47,0,0,11,0,admin,
Suc de mere si sfecla rosie Gusturi Romanesti,49,0,0,12,0,admin,
Suc de mere Solevita,38,0,0,9,0,admin,
Suc de mere verzi Ciao,28,0,0,7,0,admin,
Suc de mere verzi Pfanner,50,0,0,12,0,admin,
Suc de piersici Cappy Tempo,50,0,0,12,0,admin,
Suc de piersici Ciao,29,0,0,7,0,admin,
Suc de portocale,47,1,0,11,0,admin,
Suc de portocale 100% Fruit du monde,41,1,0,9,0,admin,
Suc de portocale 100% Happy Day,46,1,0,10,0,admin,
Suc de portocale Bravo,30,1,0,6,0,admin,
Suc de portocale Granini,49,1,0,12,2,admin,
Suc de portocale light Cappy Tempo,3,0,0,0,0,admin,
Suc de portocale light Prigat,8,0,0,13,0,admin,
Suc de portocale Prigat,45,0,0,11,0,admin,
Suc de portocale Tymbark Cool,28,0,0,7,0,admin,
Suc de prune Bjorg,77,0,0,19,1,admin,
Suc de rosii Ciao,27,0,1,6,0,admin,
Suc de rosii Fruttia,29,1,0,6,0,admin,
Suc de rosii Happy Day Tomate,18,1,0,3,0,admin,
Suc de rosii Palazzo,23,1,0,4,1,admin,
Suc de rosii Sun Gold,15,1,0,3,0,admin,
Suc de struguri albi 100%,67,0,0,16,0,admin,
Suc de struguri rosii 100%,72,0,0,19,0,admin,
Suc de tomate Ciao,21,1,0,4,0,admin,
Suc de visine Prigat,48,0,0,14,0,admin,
Suc dietetic multivitamin Pfanner,21,0,0,5,0,admin,
Suc fresh mandarine Mega Image,47,1,0,11,0,admin,
Suc fresh portocale Mega Image,46,1,0,11,0,admin,
